28/05/201907:55,26,1.25
28/05/201907:55,15,1
28/05/201907:55,28,2
28/05/201907:55,31,2.25
28/05/201907:55,16,1.125
28/05/201907:55,3,1.375
28/05/201907:55,19,1.75
28/05/201907:55,19,1.25
28/05/201907:55,17,1.5
28/05/201907:55,30,2.25
28/05/201907:55,11,1
28/05/201907:55,6,0.875
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,2
28/05/201907:55,20,1.625
28/05/201907:55,32,2.375
28/05/201907:55,39,2.875
28/05/201907:55,45,2.25
28/05/201907:55,43,2.125
28/05/201907:55,45,2.25
28/05/201907:55,50,2.375
28/05/201907:55,27,1.25
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,5,1
28/05/201907:55,20,2.875
28/05/201907:55,32,2.375
28/05/201907:55,38,2.75
28/05/201907:55,24,1.625
28/05/201907:55,9,0.875
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,1.25
28/05/201907:55,23,2
28/05/201907:55,42,2.625
28/05/201907:55,41,2
28/05/201907:55,44,2.125
28/05/201907:55,47,2.25
28/05/201907:55,42,2.125
28/05/201907:55,26,1.625
28/05/201907:55,32,1.375
28/05/201907:55,15,1
28/05/201907:55,21,1.5
28/05/201907:55,22,1.625
28/05/201907:55,22,1.625
28/05/201907:55,25,1.75
28/05/201907:55,9,0.875
28/05/201907:55,6,0.875
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,1.25
28/05/201907:55,19,1.625
28/05/201907:55,31,2.375
28/05/201907:55,35,2.625
28/05/201907:55,21,1.625
28/05/201907:55,30,2.125
28/05/201907:55,34,2.5
28/05/201907:55,28,2
28/05/201907:55,33,2.5
28/05/201907:55,42,2
28/05/201907:55,42,2.125
28/05/201907:55,49,2.375
28/05/201907:55,47,2.25
28/05/201907:55,20,1
28/05/201907:55,14,2.125
28/05/201907:55,36,2.625
28/05/201907:55,42,2
28/05/201907:55,39,1.875
28/05/201907:55,16,1
28/05/201907:55,5,1.125
28/05/201907:55,15,1.5
28/05/201907:55,9,1.125
28/05/201907:55,18,2.625
28/05/201907:55,23,1.75
28/05/201907:55,0,1
28/05/201907:55,11,1.625
