28/05/201907:55,29,1.5
28/05/201907:55,32,1.625
28/05/201907:55,49,2.125
28/05/201907:55,22,1.125
28/05/201907:55,25,1.875
28/05/201907:55,32,1.625
28/05/201907:55,22,1.125
28/05/201907:55,26,1.25
28/05/201907:55,9,0.875
28/05/201907:55,0,0.75
28/05/201907:55,8,1.25
28/05/201907:55,9,0.875
28/05/201907:55,8,1.125
28/05/201907:55,0,1.0
28/05/201907:55,0,0.75
28/05/201907:55,0,0.9
28/05/201907:55,2,0.75
28/05/201907:55,14,1.5
28/05/201907:55,8,0.875
28/05/201907:55,13,1.0
28/05/201907:55,15,1.125
28/05/201907:55,18,1.375
28/05/201907:55,27,2.0
28/05/201907:55,0,0.875
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,16,2.25
28/05/201907:55,27,2.125
28/05/201907:55,26,1.875
28/05/201907:55,30,2.25
28/05/201907:55,26,1.875
28/05/201907:55,17,1.125
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,8,1.5
28/05/201907:55,19,1.5
28/05/201907:55,24,1.75
28/05/201907:55,21,1.5
28/05/201907:55,12,0.9
28/05/201907:55,7,0.875
28/05/201907:55,3,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.625
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,11,1.875
28/05/201907:55,23,1.75
28/05/201907:55,25,2.0
28/05/201907:55,36,2.75
28/05/201907:55,35,1.75
28/05/201907:55,0,0.875
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,0,0.75
28/05/201907:55,9,1.75
28/05/201907:55,29,2.25
28/05/201907:55,31,2.25
28/05/201907:55,28,2.0
28/05/201907:55,24,1.75
28/05/201907:55,23,1.625
28/05/201907:55,4,0.875
28/05/201907:55,0,0.75
28/05/201907:55,0,0.875
28/05/201907:55,19,2.75
28/05/201907:55,32,2.5
